job number,luminanceLevels,reflectanceNumbers,reflectance start,reflectance end,bucket path
1,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],1:10,1,10,render-toolbox-vwcc2/job-1
2,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],11:20,11,20,render-toolbox-vwcc2/job-2
3,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],21:30,21,30,render-toolbox-vwcc2/job-3
4,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],31:40,31,40,render-toolbox-vwcc2/job-4
5,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],41:50,41,50,render-toolbox-vwcc2/job-5
6,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],51:60,51,60,render-toolbox-vwcc2/job-6
7,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],61:70,61,70,render-toolbox-vwcc2/job-7
8,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],71:80,71,80,render-toolbox-vwcc2/job-8
9,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],81:90,81,90,render-toolbox-vwcc2/job-9
10,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],91:100,91,100,render-toolbox-vwcc2/job-10
11,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],101:110,101,110,render-toolbox-vwcc2/job-11
12,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],111:120,111,120,render-toolbox-vwcc2/job-12
13,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],121:130,121,130,render-toolbox-vwcc2/job-13
14,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],131:140,131,140,render-toolbox-vwcc2/job-14
15,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],141:150,141,150,render-toolbox-vwcc2/job-15
