job number,luminanceLevels,reflectanceNumbers,reflectance start,reflectance end,bucket path
86,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],426:430,426,430,render-toolbox-vwcc/job-86
87,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],431:435,431,435,render-toolbox-vwcc/job-87
88,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],436:440,436,440,render-toolbox-vwcc/job-88
89,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],441:445,441,445,render-toolbox-vwcc/job-89
90,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],446:450,446,450,render-toolbox-vwcc/job-90
91,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],451:455,451,455,render-toolbox-vwcc/job-91
92,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],456:460,456,460,render-toolbox-vwcc/job-92
93,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],461:465,461,465,render-toolbox-vwcc/job-93
94,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],466:470,466,470,render-toolbox-vwcc/job-94
95,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],471:475,471,475,render-toolbox-vwcc/job-95
96,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],476:480,476,480,render-toolbox-vwcc/job-96
97,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],481:485,481,485,render-toolbox-vwcc/job-97
98,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],486:490,486,490,render-toolbox-vwcc/job-98
99,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],491:495,491,495,render-toolbox-vwcc/job-99
100,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],496:500,496,500,render-toolbox-vwcc/job-100
